ID,Product#ID,Category,Type,Manufacture,Name,Model,Description,Cost#1,Warranty,Quantity,Dated
,113162,CPU,,Intel,Pentium G3250,LGA1150,3.20 GHz L3 3MB (2C/2T) 53W,"2,090.00",3,10,2015-05-26
,113015,CPU,,Intel,Core i3 550,LGA1156,3.20 GHz L3 4MB ,"3,650.00",3,10,2015-05-26
,143167,CPU,,Intel,Core i3 4130,LGA1150,3.40 GHz L3 3MB (2C/4T) HD4400 54W,"4,650.00",3,10,2015-05-26
,114797,CPU,,Intel,Core i3 4160,LGA1150,3.60 GHz L3 3MB (2C/4T) HD4400 54W,"3,890.00",3,10,2015-05-26
,174097,CPU,,Intel,Core i5 4440,LGA1150,3.10 GHz L3 6MB (4C/4T) HD4600 84W,"5,990.00",3,10,2015-05-26
,185629,CPU,,Intel,Core i5 4460,LGA1150,3.20 GHz L3 6MB (4C/4T) HD4600 84W,"6,250.00",3,10,2015-05-26
,144924,CPU,,Intel,Core i5 4590,LGA1150,3.30 GHz L3 6MB (4C/4T) HD4600 84W,"6,790.00",3,10,2015-05-26
,156462,CPU,,Intel,Core i5 4690,LGA1150,3.50 GHz L3 6MB (4C/4T) HD4600 84W,"7,490.00",3,10,2015-05-26
,197228,CPU,,Intel,Core i5 4690K,LGA1150,3.50 GHz L3 6MB (4C/4T) HD4600 88W Unlock,"8,190.00",3,10,2015-05-26
,168103,CPU,,Intel,Core i7 4790,LGA1150,3.60 GHz L3 8MB (4C/8T) HD4600 84W,"10,500.00",3,10,2015-05-26
,175452,CPU,,Intel,Core i7 4790K,LGA1150,4.00 GHz L3 8MB (4C/8T) HD4600 88W Unlock,"11,850.00",3,10,2015-05-26
,141141,CPU,,Intel,Core i7 4820K,LGA2011,3.70 GHz L3 10MB (4C/8T) ,"11,600.00",3,10,2015-05-26
,184033,CPU,,Intel,Core i7 4960X,LGA2011,3.60 GHz L3 15MB (6C/12T) 130W TDP ,"36,000.00",3,10,2015-05-26
,133201,CPU,,Intel,Core i7 5820K,LGA2011,3.30 GHz L3 15MB (6C/12T) 140W Unlock 28-Lane,"13,590.00",3,10,2015-05-26
,129383,CPU,,Intel,Core i7 5930K,LGA2011,3.50 GHz L3 15MB (6C/12T) 140W Unlock 40-Lane,"20,490.00",3,10,2015-05-26
,188856,CPU,,Intel,Core I7 5960X,LGA2011,3.00 GHz L3 20MB (8C/16T) 140W Unlock 40-Lane,"36,200.00",3,10,2015-05-26
,153666,CPU,,Intel,Xeon E3-1230v2,LGA1155,3.30 GHz L3 8MB (4C/8T),"7,905.00",3,10,2015-05-26
,119712,CPU,,Intel,Xeon E3-1220v3,LGA1150,3.10GHz 8MB (4C/4T),"7,300.00",3,10,2015-05-26
,151022,CPU,,Intel,Xeon E3-1226v3,LGA1150,3.30 GHz 8MB (4C/4T),"7,900.00",3,10,2015-05-26
,114077,CPU,,Intel,Xeon E3-1231v3,LGA1150,3.40 GHz 8MB (4C/8T),"8,650.00",3,10,2015-05-26
,176788,CPU,,Intel,Xeon E3-1241v3,LGA1150,3.50 GHz 8MB (4C/8T),"10,200.00",3,10,2015-05-26
,117709,CPU,,Intel,Xeon E3-1245v3,LGA1150,3.40 GHz 8MB (4C/8T),"10,760.00",3,10,2015-05-26
,105727,CPU,,Intel,Xeon E3-1246v3,LGA1150,3.50 GHz 8MB (4C/8T),"11,340.00",3,10,2015-05-26
,171924,CPU,,Intel,Xeon E3-1271v3,LGA1150,3.60 GHz 8MB (4C/8T),"12,700.00",3,10,2015-05-26
,109206,CPU,,Intel,Xeon E5-2420v2,LGA1356,1.90 GHz 15MB (6C/12T),"13,950.00",3,10,2015-05-26
,148794,CPU,,Intel,Xeon E5-2407v2,LGA1356,2.40 GHz10MB(4C/4T),"9,800.00",3,10,2015-05-26
,102873,CPU,,Intel,Xeon E5-2420v2,LGA1356,2.20 GHz 15MB (6C/12T),"15,500.00",3,10,2015-05-26
,196539,CPU,,Intel,Xeon E5-2430v2,LGA1356,2.50 GHz 15MB (6C/12T),"19,500.00",3,10,2015-05-26
,136461,CPU,,Intel,Xeon E5620(Tray),LGA1366,2.40 GHz 12MB (4C/8T),"13,950.00",3,10,2015-05-26
,175140,CPU,,Intel,Xeon E5-2620,LGA2011,2.00 GHz 15MB (6C/12T),"15,850.00",3,10,2015-05-26
,138394,CPU,,Intel,Xeon E5-2609v2,LGA 2011v2 ,2.5GHz|10MB|4cores-4Threads|6.4GT/s,"10,900.00",3,10,2015-05-26
,132123,CPU,,Intel,Xeon E5-2620v2,LGA 2011v2 ,2.1GHz|6cores-12Threads,"16,600.00",3,10,2015-05-26
,150370,CPU,,Intel,Xeon E5-2630v2,LGA 2011v2 ,"2.6GHz, 15MB, 6cores-12threads","24,200.00",3,10,2015-05-26
,155932,CPU,,Intel,Xeon E5-2650v2,LGA 2011v2 ,2.6GHz|8cores-16threads,"47,000.00",3,10,2015-05-26
,161887,CPU,,Intel,Xeon E5-2660v2,LGA 2011v2 ,2.2GHz|25MB|95W TDP|10cores/20threads,"57,000.00",3,10,2015-05-26
,112194,CPU,,Intel,Xeon E5-2699v3,LGA 2011-R3,2.3GHz|45MB|145W|18cores /36threads (Tray),"182,000.00",1,10,2015-05-26
,168397,CPU,,Intel,Xeon E5-2630v3,LGA 2011-R3,"2.4GHz, 20MB/8cores/16threads","24,500.00",3,10,2015-05-26
,105826,CPU,,Intel,Xeon E5-2609v3,LGA 2011-R3,"1.9GHz, 15MB, 6C/6T","11,300.00",3,10,2015-05-26
,100082,CPU,,Intel,Xeon E5-1650v3,LGA 2011-R3,"3.5GHz, 6cores/12threads, BOX","24,500.00",3,10,2015-05-26
,199017,CPU,,Intel,Xeon E5-1650v3,LGA 2011-R3,"3.5GHz, 6cores/12threads, Tray","23,500.00",1,10,2015-05-26
